county,state,fips
Autauga,Alabama,1001
Baldwin,Alabama,1003
Barbour,Alabama,1005
Bibb,Alabama,1007
Blount,Alabama,1009
Bullock,Alabama,1011
Butler,Alabama,1013
Calhoun,Alabama,1015
Chambers,Alabama,1017
Cherokee,Alabama,1019
Chilton,Alabama,1021
Choctaw,Alabama,1023
Clarke,Alabama,1025
Clay,Alabama,1027
Cleburne,Alabama,1029
Coffee,Alabama,1031
Colbert,Alabama,1033
Conecuh,Alabama,1035
Coosa,Alabama,1037
Covington,Alabama,1039
Crenshaw,Alabama,1041
Cullman,Alabama,1043
Dale,Alabama,1045
Dallas,Alabama,1047
DeKalb,Alabama,1049
Elmore,Alabama,1051
Escambia,Alabama,1053
Etowah,Alabama,1055
Fayette,Alabama,1057
Franklin,Alabama,1059
Geneva,Alabama,1061
Greene,Alabama,1063
Hale,Alabama,1065
Henry,Alabama,1067
Houston,Alabama,1069
Jackson,Alabama,1071
Jefferson,Alabama,1073
Lamar,Alabama,1075
Lauderdale,Alabama,1077
Lawrence,Alabama,1079
Lee,Alabama,1081
Limestone,Alabama,1083
Lowndes,Alabama,1085
Macon,Alabama,1087
Madison,Alabama,1089
Marengo,Alabama,1091
Marion,Alabama,1093
Marshall,Alabama,1095
Mobile,Alabama,1097
Monroe,Alabama,1099
Montgomery,Alabama,1101
Morgan,Alabama,1103
Perry,Alabama,1105
Pickens,Alabama,1107
Pike,Alabama,1109
Randolph,Alabama,1111
Russell,Alabama,1113
Shelby,Alabama,1117
St. Clair,Alabama,1115
Sumter,Alabama,1119
Talladega,Alabama,1121
Tallapoosa,Alabama,1123
Tuscaloosa,Alabama,1125
Walker,Alabama,1127
Washington,Alabama,1129
Wilcox,Alabama,1131
Winston,Alabama,1133
Aleutians East Borough,Alaska,2013
Aleutians West Census Area,Alaska,2016
Anchorage,Alaska,2020
Bethel Census Area,Alaska,2050
Bristol Bay plus Lake and Peninsula,Alaska,2997
Denali Borough,Alaska,2068
Dillingham Census Area,Alaska,2070
Fairbanks North Star Borough,Alaska,2090
Haines Borough,Alaska,2100
Juneau City and Borough,Alaska,2110
Kenai Peninsula Borough,Alaska,2122
Ketchikan Gateway Borough,Alaska,2130
Kodiak Island Borough,Alaska,2150
Kusilvak Census Area,Alaska,2158
Matanuska-Susitna Borough,Alaska,2170
Nome Census Area,Alaska,2180
North Slope Borough,Alaska,2185
Northwest Arctic Borough,Alaska,2188
Petersburg Borough,Alaska,2195
Prince of Wales-Hyder Census Area,Alaska,2198
Sitka City and Borough,Alaska,2220
Skagway Municipality,Alaska,2230
Southeast Fairbanks Census Area,Alaska,2240
Valdez-Cordova Census Area,Alaska,2261
Wrangell City and Borough,Alaska,2275
Yakutat plus Hoonah-Angoon,Alaska,2998
Yukon-Koyukuk Census Area,Alaska,2290
Apache,Arizona,4001
Cochise,Arizona,4003
Coconino,Arizona,4005
Gila,Arizona,4007
Graham,Arizona,4009
Greenlee,Arizona,4011
La Paz,Arizona,4012
Maricopa,Arizona,4013
Mohave,Arizona,4015
Navajo,Arizona,4017
Pima,Arizona,4019
Pinal,Arizona,4021
Santa Cruz,Arizona,4023
Yavapai,Arizona,4025
Yuma,Arizona,4027
Arkansas,Arkansas,5001
Ashley,Arkansas,5003
Baxter,Arkansas,5005
Benton,Arkansas,5007
Boone,Arkansas,5009
Bradley,Arkansas,5011
Calhoun,Arkansas,5013
Carroll,Arkansas,5015
Chicot,Arkansas,5017
Clark,Arkansas,5019
Clay,Arkansas,5021
Cleburne,Arkansas,5023
Cleveland,Arkansas,5025
Columbia,Arkansas,5027
Conway,Arkansas,5029
Craighead,Arkansas,5031
Crawford,Arkansas,5033
Crittenden,Arkansas,5035
Cross,Arkansas,5037
Dallas,Arkansas,5039
Desha,Arkansas,5041
Drew,Arkansas,5043
Faulkner,Arkansas,5045
Franklin,Arkansas,5047
Fulton,Arkansas,5049
Garland,Arkansas,5051
Grant,Arkansas,5053
Greene,Arkansas,5055
Hempstead,Arkansas,5057
Hot Spring,Arkansas,5059
Howard,Arkansas,5061
Independence,Arkansas,5063
Izard,Arkansas,5065
Jackson,Arkansas,5067
Jefferson,Arkansas,5069
Johnson,Arkansas,5071
Lafayette,Arkansas,5073
