date,county,state,fips,cases,deaths,cured
2020-01-26,Los Angeles,California,6037,1,0,1
2020-01-27,Los Angeles,California,6037,1,0,1
2020-01-28,Los Angeles,California,6037,1,0,1
2020-01-29,Los Angeles,California,6037,1,0,1
2020-01-30,Los Angeles,California,6037,1,0,1
2020-01-31,Los Angeles,California,6037,1,0,1
2020-02-01,Los Angeles,California,6037,1,0,1
2020-02-02,Los Angeles,California,6037,1,0,1
2020-02-03,Los Angeles,California,6037,1,0,1
2020-02-04,Los Angeles,California,6037,1,0,1
2020-02-05,Los Angeles,California,6037,1,0,1
2020-02-06,Los Angeles,California,6037,1,0,1
2020-02-07,Los Angeles,California,6037,1,0,1
2020-02-08,Los Angeles,California,6037,1,0,1
2020-02-09,Los Angeles,California,6037,1,0,1
2020-02-10,Los Angeles,California,6037,1,0,1
2020-02-11,Los Angeles,California,6037,1,0,1
2020-02-12,Los Angeles,California,6037,1,0,1
2020-02-13,Los Angeles,California,6037,1,0,1
2020-02-14,Los Angeles,California,6037,1,0,1
2020-02-15,Los Angeles,California,6037,1,0,1
2020-02-16,Los Angeles,California,6037,1,0,1
2020-02-17,Los Angeles,California,6037,1,0,1
2020-02-18,Los Angeles,California,6037,1,0,1
2020-02-19,Los Angeles,California,6037,1,0,1
2020-02-20,Los Angeles,California,6037,1,0,1
2020-02-21,Los Angeles,California,6037,1,0,1
2020-02-22,Los Angeles,California,6037,1,0,1
2020-02-23,Los Angeles,California,6037,1,0,1
2020-02-24,Los Angeles,California,6037,1,0,1
2020-02-25,Los Angeles,California,6037,1,0,1
2020-02-26,Los Angeles,California,6037,1,0,1
2020-02-27,Los Angeles,California,6037,1,0,1
2020-02-28,Los Angeles,California,6037,1,0,1
2020-02-29,Los Angeles,California,6037,1,0,1
2020-03-01,Los Angeles,California,6037,1,0,1
2020-03-02,Los Angeles,California,6037,1,0,1
2020-03-03,Los Angeles,California,6037,1,0,1
2020-03-04,Los Angeles,California,6037,7,0,7
2020-03-05,Los Angeles,California,6037,11,0,11
2020-03-06,Los Angeles,California,6037,13,0,13
2020-03-07,Los Angeles,California,6037,14,0,14
2020-03-08,Los Angeles,California,6037,14,0,14
2020-03-09,Los Angeles,California,6037,19,0,19
2020-03-10,Los Angeles,California,6037,20,0,20
2020-03-11,Los Angeles,California,6037,28,1,27
2020-03-12,Los Angeles,California,6037,32,1,31
2020-03-13,Los Angeles,California,6037,40,1,39
2020-03-14,Los Angeles,California,6037,53,1,52
2020-03-15,Los Angeles,California,6037,69,1,68
2020-03-16,Los Angeles,California,6037,94,1,93
2020-03-17,Los Angeles,California,6037,144,1,143
2020-03-18,Los Angeles,California,6037,190,1,189
2020-03-19,Los Angeles,California,6037,231,2,229
2020-03-20,Los Angeles,California,6037,292,2,290
2020-03-21,Los Angeles,California,6037,351,4,347
2020-03-22,Los Angeles,California,6037,421,5,416
2020-03-23,Los Angeles,California,6037,536,7,529
2020-03-24,Los Angeles,California,6037,662,11,651
2020-03-25,Los Angeles,California,6037,799,13,786
2020-03-26,Los Angeles,California,6037,1216,21,1195
2020-03-27,Los Angeles,California,6037,1465,27,1438
2020-03-28,Los Angeles,California,6037,1804,33,1771
2020-03-29,Los Angeles,California,6037,2136,37,2099
2020-03-30,Los Angeles,California,6037,2474,44,2430
2020-03-31,Los Angeles,California,6037,3011,54,2957
2020-04-01,Los Angeles,California,6037,3518,65,3453
2020-04-02,Los Angeles,California,6037,4045,78,3967
2020-04-03,Los Angeles,California,6037,4566,89,4477
2020-04-04,Los Angeles,California,6037,5277,117,5160
2020-04-05,Los Angeles,California,6037,5940,132,5808
2020-04-06,Los Angeles,California,6037,6360,147,6213
2020-04-07,Los Angeles,California,6037,6910,169,6741
2020-04-08,Los Angeles,California,6037,7530,198,7332
2020-04-09,Los Angeles,California,6037,7955,223,7732
2020-04-10,Los Angeles,California,6037,8430,241,8189
2020-04-11,Los Angeles,California,6037,8873,265,8608
2020-04-12,Los Angeles,California,6037,9192,296,8896
2020-04-13,Los Angeles,California,6037,9420,320,9100
2020-04-14,Los Angeles,California,6037,10047,360,9687
2020-04-15,Los Angeles,California,6037,10496,402,10094
2020-04-16,Los Angeles,California,6037,10854,455,10399
2020-04-17,Los Angeles,California,6037,11391,495,10896
2020-04-18,Los Angeles,California,6037,12021,576,11445
2020-04-19,Los Angeles,California,6037,12341,600,11741
2020-04-20,Los Angeles,California,6037,13816,617,13199
2020-04-21,Los Angeles,California,6037,15140,663,14477
2020-04-22,Los Angeles,California,6037,16435,729,15706
2020-04-23,Los Angeles,California,6037,17508,797,16711
2020-04-24,Los Angeles,California,6037,18545,850,17695
2020-04-25,Los Angeles,California,6037,19107,895,18212
2020-04-26,Los Angeles,California,6037,19528,913,18615
2020-04-27,Los Angeles,California,6037,20417,942,19475
2020-04-28,Los Angeles,California,6037,20976,1000,19976
2020-04-29,Los Angeles,California,6037,22485,1056,21429
2020-04-30,Los Angeles,California,6037,23182,1111,22071
2020-05-01,Los Angeles,California,6037,24215,1172,23043
2020-05-02,Los Angeles,California,6037,24894,1209,23685
2020-05-03,Los Angeles,California,6037,25662,1229,24433
2020-05-04,Los Angeles,California,6037,26217,1256,24961
2020-05-05,Los Angeles,California,6037,27815,1313,26502
2020-05-06,Los Angeles,California,6037,28644,1367,27277
2020-05-07,Los Angeles,California,6037,29427,1418,28009
2020-05-08,Los Angeles,California,6037,30296,1468,28828
2020-05-09,Los Angeles,California,6037,31197,1512,29685
2020-05-10,Los Angeles,California,6037,31677,1530,30147
2020-05-11,Los Angeles,California,6037,32258,1569,30689
2020-05-12,Los Angeles,California,6037,33180,1613,31567
2020-05-13,Los Angeles,California,6037,34428,1659,32769
2020-05-14,Los Angeles,California,6037,35329,1659,33670
2020-05-15,Los Angeles,California,6037,36259,1755,34504
2020-05-16,Los Angeles,California,6037,37303,1793,35510
2020-05-17,Los Angeles,California,6037,37974,1821,36153
2020-05-18,Los Angeles,California,6037,38451,1839,36612
2020-05-19,Los Angeles,California,6037,39573,1913,37660
2020-05-20,Los Angeles,California,6037,40857,1970,38887
2020-05-21,Los Angeles,California,6037,42037,2016,40021
2020-05-22,Los Angeles,California,6037,43052,2049,41003
2020-05-23,Los Angeles,California,6037,44055,2090,41965
2020-05-24,Los Angeles,California,6037,44988,2104,42884
2020-05-25,Los Angeles,California,6037,46018,2116,43902
2020-05-26,Los Angeles,California,6037,47822,2143,45679
2020-05-27,Los Angeles,California,6037,48700,2195,46505
2020-05-28,Los Angeles,California,6037,49774,2241,47533
2020-05-29,Los Angeles,California,6037,51562,2290,49272
2020-05-30,Los Angeles,California,6037,53651,2338,51313
2020-05-31,Los Angeles,California,6037,54996,2362,52634
2020-06-01,Los Angeles,California,6037,55968,2384,53584
2020-06-02,Los Angeles,California,6037,57118,2443,54675
2020-06-03,Los Angeles,California,6037,58234,2489,55745
2020-06-04,Los Angeles,California,6037,59650,2531,57119
2020-06-05,Los Angeles,California,6037,61045,2565,58480
2020-06-06,Los Angeles,California,6037,62338,2620,59718
2020-06-07,Los Angeles,California,6037,63844,2645,61199
2020-06-08,Los Angeles,California,6037,64644,2655,61989
2020-06-09,Los Angeles,California,6037,65822,2707,63115
2020-06-10,Los Angeles,California,6037,67064,2768,64296
2020-06-11,Los Angeles,California,6037,68875,2813,66062
2020-06-12,Los Angeles,California,6037,70476,2832,67644
2020-06-13,Los Angeles,California,6037,72023,2890,69133
2020-06-14,Los Angeles,California,6037,73018,2907,70111
2020-06-15,Los Angeles,California,6037,73791,2926,70865
2020-06-16,Los Angeles,California,6037,75084,2959,72125
2020-06-17,Los Angeles,California,6037,77189,2991,74198
2020-06-18,Los Angeles,California,6037,78227,3027,75200
2020-06-19,Los Angeles,California,6037,79609,3063,76546
2020-06-20,Los Angeles,California,6037,81636,3110,78526
2020-06-21,Los Angeles,California,6037,83397,3120,80277
2020-06-22,Los Angeles,California,6037,85942,3137,82805
2020-06-23,Los Angeles,California,6037,88262,3171,85091
2020-06-24,Los Angeles,California,6037,89490,3205,86285
2020-06-25,Los Angeles,California,6037,91467,3246,88221
2020-06-26,Los Angeles,California,6037,93232,3267,89965
2020-06-27,Los Angeles,California,6037,95371,3285,92086
2020-06-28,Los Angeles,California,6037,97894,3305,94589
2020-06-29,Los Angeles,California,6037,100772,3326,97446
2020-06-30,Los Angeles,California,6037,103529,3369,100160
2020-07-01,Los Angeles,California,6037,105507,3402,102105
2020-07-02,Los Angeles,California,6037,107667,3454,104213
2020-07-03,Los Angeles,California,6037,110310,3454,106856
2020-07-04,Los Angeles,California,6037,113497,3454,110043
2020-07-05,Los Angeles,California,6037,114993,3487,111506
